Airline	Triturator	Confidence Triturator	Ground handling	Confidence Ground handling	Source	Secondary source	Conflicting information?
Delta Air Lines	Swissport	5	None	5	Email by Keith Serkiz (Swissport)
JetBlue Airways	Swissport	5	None	5	Email by Keith Serkiz (Swissport)
American Airlines	American Airlines	3	Unknown	3	Email by Keith Serkiz (Swissport)
United Airlines	American Airlines	3	Unknown	3	Email by Keith Serkiz (Swissport)
Southwest Airlines	Swissport	5	None	5	Email by Keith Serkiz (Swissport)
Porter Airlines	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
LATAM Airlines	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
Hawaiian Airlines	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
BermudAir	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
Korean Air	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
Iberia	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
Fly Play	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
SAS Scandinavian Airlines	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
Qatar Airways	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
Qatar Executive	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
TAP Air Portugal	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
Turkish Airlines	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
Hainan Airlines	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
El Al Israel Airlines	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
Aer Lingus	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
ITA Airways	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
Condor	Swissport	5	Swissport	5	Email by Michael Kisko (Swissport)
British Airways	Unknown	1	Dnata	2	Call with Michael McPherson (Dnata), Call with IAG		Michael McPherson at Dnata said that British is using the Swissport trit but someone at IAG said they are using the American Airlines trit
Cape Air	No Triturator Used	5	No Triturator Used	5	Call with Cape Air representative
Emirates	Swissport	4	Dnata	4	Call with Michael McPherson (Dnata)
Lufthansa	Swissport	4	Dnata	4	Call with Michael McPherson (Dnata)
Spirit	Unknown	3	ATS	3	Call with Michael McPherson (Dnata)
Alaska	Unknown	0	Unknown	0	No source		Apparently they neither use the Swissport, not the American Airlines triturator.
Icelandair	American Airlines	5	Triangle	5	Email by Tom Knowles (VP at Triangle)	Email by Tom Knowles (Triangle)	Michael McPherson said that these airlines work with Triangle at the Swissport Trit. Tom Knowles said that they do not do work at the Swissport triturator
Allegiance	American Airlines	5	Triangle	5	Email by Tom Knowles (VP at Triangle)	Email by Tom Knowles (Triangle)	Michael McPherson said that these airlines work with Triangle at the Swissport Trit. Tom Knowles said that they do not do work at the Swissport triturator
Air France	American Airlines	5	Triangle	5	Email by Tom Knowles (VP at Triangle)	Email by Tom Knowles (Triangle)	Michael McPherson said that these airlines work with Triangle at the Swissport Trit. Tom Knowles said that they do not do work at the Swissport triturator
Copa Airlines	American Airlines	5	Triangle	5	Email by Tom Knowles (VP at Triangle)	Email by Tom Knowles (Triangle)	Michael McPherson said that these airlines work with Triangle at the Swissport Trit. Tom Knowles said that they do not do work at the Swissport triturator
Cathay Pacific	Swissport	4	Dnata	4	Call with Michael McPherson (Dnata)
Swiss	Swissport	4	Dnata	4	Call with Michael McPherson (Dnata)
Japan Airlines	Swissport	4	Dnata	4	Call with Michael McPherson (Dnata)
KLM Royal Dutch Airlines	American Airlines	5	Triangle	5	Email by Tom Knowles (VP at Triangle)
Avianca	American Airlines	5	Triangle	5	Email by Tom Knowles (VP at Triangle)
Sun Country Airlines	American Airlines	5	Triangle	5	Email by Tom Knowles (VP at Triangle)
